DIS_LOSS_REAL: 1.4509587288, DIS_LOSS_FAKE: 0.1100261286, TOTAL: 0.780492428695, GEN_LOSS_BATCH: 2e-10
DIS_LOSS_REAL: 1.435631752, DIS_LOSS_FAKE: 0.1198709607, TOTAL: 0.777751356357, GEN_LOSS_BATCH: 1e-10
DIS_LOSS_REAL: 1.4707558155, DIS_LOSS_FAKE: 0.1107366309, TOTAL: 0.790746223203, GEN_LOSS_BATCH: 1e-10
DIS_LOSS_REAL: 1.4497485161, DIS_LOSS_FAKE: 0.1238661259, TOTAL: 0.7868073209915, GEN_LOSS_BATCH: 1e-10
DIS_LOSS_REAL: 1.5111626387, DIS_LOSS_FAKE: 0.1074073464, TOTAL: 0.809284992532, GEN_LOSS_BATCH: 1e-10
DIS_LOSS_REAL: 1.4180375338, DIS_LOSS_FAKE: 0.118566528, TOTAL: 0.7683020308799999, GEN_LOSS_BATCH: 1e-10
DIS_LOSS_REAL: 1.4852651358, DIS_LOSS_FAKE: 0.1254148781, TOTAL: 0.8053400069325, GEN_LOSS_BATCH: 0.0
DIS_LOSS_REAL: 1.3976199627, DIS_LOSS_FAKE: 0.1130215526, TOTAL: 0.755320757646, GEN_LOSS_BATCH: 1e-10
DIS_LOSS_REAL: 1.5200648308, DIS_LOSS_FAKE: 0.0998866037, TOTAL: 0.80997571724, GEN_LOSS_BATCH: 0.0
DIS_LOSS_REAL: 1.439832449, DIS_LOSS_FAKE: 0.1138659343, TOTAL: 0.7768491916295, GEN_LOSS_BATCH: 0.0
DIS_LOSS_REAL: 1.5116820335, DIS_LOSS_FAKE: 0.1163777858, TOTAL: 0.8140299096695, GEN_LOSS_BATCH: 0.0
DIS_LOSS_REAL: 1.5275015831, DIS_LOSS_FAKE: 0.1011621952, TOTAL: 0.8143318891494999, GEN_LOSS_BATCH: 0.0
DIS_LOSS_REAL: 1.5169290304, DIS_LOSS_FAKE: 0.0990058035, TOTAL: 0.8079674169590001, GEN_LOSS_BATCH: 0.0
DIS_LOSS_REAL: 1.3754065037, DIS_LOSS_FAKE: 0.1124880686, TOTAL: 0.7439472861385, GEN_LOSS_BATCH: 0.0
DIS_LOSS_REAL: 1.4973020554, DIS_LOSS_FAKE: 0.1169252396, TOTAL: 0.8071136474795, GEN_LOSS_BATCH: 1e-10
DIS_LOSS_REAL: 1.4154284, DIS_LOSS_FAKE: 0.124926284, TOTAL: 0.77017734202, GEN_LOSS_BATCH: 0.0
DIS_LOSS_REAL: 1.5651912689, DIS_LOSS_FAKE: 0.0992588922, TOTAL: 0.8322250805604999, GEN_LOSS_BATCH: 1e-10
DIS_LOSS_REAL: 1.5465533733, DIS_LOSS_FAKE: 0.1168290526, TOTAL: 0.8316912129685, GEN_LOSS_BATCH: 0.0
DIS_LOSS_REAL: 1.4136853218, DIS_LOSS_FAKE: 0.111375466, TOTAL: 0.762530393904, GEN_LOSS_BATCH: 0.0
DIS_LOSS_REAL: 1.4163329601, DIS_LOSS_FAKE: 0.1200359017, TOTAL: 0.7681844309145001, GEN_LOSS_BATCH: 0.0
DIS_LOSS_REAL: 1.4810304642, DIS_LOSS_FAKE: 0.1098957062, TOTAL: 0.7954630851860001, GEN_LOSS_BATCH: 0.0
DIS_LOSS_REAL: 1.4353761673, DIS_LOSS_FAKE: 0.1065993011, TOTAL: 0.7709877341985, GEN_LOSS_BATCH: 0.0
DIS_LOSS_REAL: 1.4446794987, DIS_LOSS_FAKE: 0.1152226403, TOTAL: 0.779951069486, GEN_LOSS_BATCH: 0.0
DIS_LOSS_REAL: 1.4729719162, DIS_LOSS_FAKE: 0.1126830876, TOTAL: 0.7928275018995, GEN_LOSS_BATCH: 0.0
DIS_LOSS_REAL: 1.4654163122, DIS_LOSS_FAKE: 0.1085758656, TOTAL: 0.786996088909, GEN_LOSS_BATCH: 0.0
DIS_LOSS_REAL: 1.4057754278, DIS_LOSS_FAKE: 0.0952008665, TOTAL: 0.7504881471589999, GEN_LOSS_BATCH: 0.0
DIS_LOSS_REAL: 1.5204867125, DIS_LOSS_FAKE: 0.1143414974, TOTAL: 0.817414104928, GEN_LOSS_BATCH: 0.0
DIS_LOSS_REAL: 1.5102820396, DIS_LOSS_FAKE: 0.1043639928, TOTAL: 0.807323016221, GEN_LOSS_BATCH: 0.0
DIS_LOSS_REAL: 1.4731420279, DIS_LOSS_FAKE: 0.1006942019, TOTAL: 0.7869181148775, GEN_LOSS_BATCH: 0.0
DIS_LOSS_REAL: 1.5352531672, DIS_LOSS_FAKE: 0.1053092927, TOTAL: 0.820281229926, GEN_LOSS_BATCH: 0.0
DIS_LOSS_REAL: 1.5253231525, DIS_LOSS_FAKE: 0.1026241705, TOTAL: 0.8139736615209999, GEN_LOSS_BATCH: 0.0
DIS_LOSS_REAL: 1.5584791899, DIS_LOSS_FAKE: 0.1081952527, TOTAL: 0.8333372212865, GEN_LOSS_BATCH: 0.0
DIS_LOSS_REAL: 1.5257680416, DIS_LOSS_FAKE: 0.1111282557, TOTAL: 0.8184481486555, GEN_LOSS_BATCH: 0.0
DIS_LOSS_REAL: 1.5128550529, DIS_LOSS_FAKE: 0.1218179613, TOTAL: 0.817336507124, GEN_LOSS_BATCH: 0.0
DIS_LOSS_REAL: 1.3719928265, DIS_LOSS_FAKE: 0.1314983368, TOTAL: 0.751745581631, GEN_LOSS_BATCH: 0.0
DIS_LOSS_REAL: 1.5723781586, DIS_LOSS_FAKE: 0.1063651815, TOTAL: 0.8393716700345, GEN_LOSS_BATCH: 0.0
DIS_LOSS_REAL: 1.5253654718, DIS_LOSS_FAKE: 0.1301313341, TOTAL: 0.82774840297, GEN_LOSS_BATCH: 0.0
DIS_LOSS_REAL: 1.50771451, DIS_LOSS_FAKE: 0.1065973416, TOTAL: 0.807155925782, GEN_LOSS_BATCH: 0.0
DIS_LOSS_REAL: 1.4914065599, DIS_LOSS_FAKE: 0.1290003061, TOTAL: 0.810203433022, GEN_LOSS_BATCH: 0.0
DIS_LOSS_REAL: 1.5698063374, DIS_LOSS_FAKE: 0.1057872176, TOTAL: 0.8377967774785, GEN_LOSS_BATCH: 0.0
DIS_LOSS_REAL: 1.4356782436, DIS_LOSS_FAKE: 0.1170027107, TOTAL: 0.7763404771685, GEN_LOSS_BATCH: 0.0
DIS_LOSS_REAL: 1.4420769215, DIS_LOSS_FAKE: 0.1152921766, TOTAL: 0.7786845490315, GEN_LOSS_BATCH: 0.0
